	subj	task	event_id	tertile	ang_dist
72	114	perception	8	clock	4.61268188692852
73	114	perception	9	clock	4.555911361402546
74	114	perception	10	counter	-5.377729922334089
75	114	perception	11	clock	10.125579074761715
76	114	perception	12	clock	6.797505060825179
77	114	perception	13	clock	8.16597794822912
78	114	perception	14	counter	-4.54855147467138
79	114	perception	15	counter	-5.160675023028737
80	114	perception	48	clock	7.146266323026708
81	114	perception	49	clock	4.694709820160891
82	114	perception	50	center	-1.0041185175356209
83	114	perception	51	clock	6.701846502904993
84	114	perception	52	clock	8.378083798205198
85	114	perception	53	clock	4.897539642048105
86	114	perception	55	counter	-6.574331533296143
87	114	perception	56	clock	10.82909961566684
88	114	perception	57	clock	11.754838058504957
89	114	perception	58	center	2.5049981391956413
90	114	perception	59	counter	-5.671129658525538
91	114	perception	60	counter	-9.630835776127457
92	114	perception	61	counter	-2.555466781179831
93	114	perception	62	counter	-10.48193005025344
94	114	perception	63	center	-0.7633325900107726
95	114	perception	96	counter	-3.226963686426374
96	114	perception	97	counter	-2.2001799029699427
97	114	perception	98	clock	3.963409408298137
98	114	perception	99	counter	-2.6069941352059263
99	114	perception	100	clock	13.462794240929389
100	114	perception	101	counter	-9.669054929972209
101	114	perception	102	counter	-6.980104797267991
102	114	perception	103	center	1.9752339862768111
103	114	perception	104	center	-0.7691664222519157
104	114	perception	105	clock	5.552582429059261
105	114	perception	106	counter	-4.182179490180564
106	114	perception	107	center	-1.9175121541718712
107	114	perception	108	counter	-8.843831512460238
108	114	perception	109	counter	-6.364265277452539
109	114	perception	110	counter	-4.881838270149362
110	114	perception	111	counter	-2.6594006455142147
111	114	perception	144	clock	5.977587110335335
112	114	perception	145	counter	-5.734058928403322
113	114	perception	146	counter	-5.060918177173913
114	114	perception	147	center	-1.4505232089742672
115	114	perception	148	center	-1.1974208097274963
116	114	perception	149	center	-1.721173872955602
117	114	perception	150	counter	-5.221668994477784
118	114	perception	151	clock	8.971075856339084
119	114	perception	152	counter	13.895688996613616
120	114	perception	153	center	-0.2261685521340501
121	114	perception	154	counter	-8.676991744327546
122	114	perception	155	center	2.128732026021664
123	114	perception	156	clock	10.984107776198336
124	114	perception	157	center	1.2010914323975057
125	114	perception	158	clock	4.804113990477828
126	114	perception	159	counter	-12.794298040578074
127	114	wm	32	counter	-6.087530298053582
128	114	wm	33	clock	11.38410037376164
129	114	wm	34	counter	-12.2946138781663
130	114	wm	35	counter	-4.945763279472375
131	114	wm	36	clock	5.292686953108481
132	114	wm	37	center	2.149282516463728
133	114	wm	38	counter	-41.55045072985433
134	114	wm	39	counter	21.99991364736013
135	114	wm	40	clock	18.945801544990427
136	114	wm	41	counter	-34.12528961150851
137	114	wm	42	counter	163.4110642980565
138	114	wm	43	counter	-8.73138351038108
139	114	wm	44	clock	15.694502012113315
140	114	wm	46	center	-2.3050514922084773
141	114	wm	47	clock	7.131664646056369
142	114	wm	80	counter	-6.733912932937219
143	114	wm	81	counter	-6.390336521849422
144	114	wm	82	clock	5.986020308112167
145	114	wm	83	counter	-7.989552945628138
146	114	wm	84	clock	16.824094820338118
147	114	wm	85	center	-3.996024373577061
148	114	wm	86	center	0.2171316348358551
149	114	wm	87	clock	5.175554892493807
150	114	wm	88	center	1.1005859431069598
151	114	wm	89	counter	-10.6384908771331
152	114	wm	90	counter	-9.409574314827026
153	114	wm	91	center	3.7595446897972598
154	114	wm	92	center	1.7548088959573396
155	114	wm	93	clock	10.570117185627431
156	114	wm	94	counter	-13.354222836427954
157	114	wm	95	counter	-10.220209114169917
158	114	wm	128	counter	-6.8656061863746745
159	114	wm	129	center	-2.4246884626364382
160	114	wm	130	counter	-21.261755052177552
161	114	wm	131	clock	9.719734335940869
162	114	wm	132	center	0.1715772716216762
163	114	wm	133	counter	-11.486500239467494
164	114	wm	134	counter	-6.183284469873121
165	114	wm	135	clock	10.012969650405072
166	114	wm	136	center	3.0539213560987024
167	114	wm	137	center	0.1331908166288842
168	114	wm	138	counter	-21.19223926582969
169	114	wm	139	center	-2.2804491914665346
170	114	wm	140	clock	7.271960349163857
171	114	wm	141	clock	15.388112882798554
172	114	wm	142	counter	-10.735961590237418
173	114	wm	143	counter	-5.856809612277152
174	114	wm	176	counter	-16.1023405723596
175	114	wm	177	center	-0.6825567818632459
176	114	wm	178	clock	5.436286607673178
177	114	wm	179	center	2.241302821965157
178	114	wm	180	center	0.3317404007214261
179	114	wm	181	center	3.749676568578373
180	114	wm	182	center	1.886474117037948
181	114	wm	183	clock	13.330528082490524
182	114	wm	184	counter	-14.887163360241953
183	114	wm	185	center	1.843478676235465
184	114	wm	186	center	1.239670288232684
185	114	wm	187	counter	-6.961122871402477
186	114	wm	188	counter	-13.329473864577698
187	114	wm	189	counter	-10.30756153727097
188	114	wm	190	counter	-11.352458242975452
189	114	wm	191	center	-1.8446103540077685
190	115	ltm	16	counter	-9.93294773392581
191	115	ltm	18	counter	-9.152975648651427
192	115	ltm	19	clock	7.5067902119993954
193	115	ltm	20	counter	-5.910246792618063
