	roi	task	n_boot	l	k	x0	c	k2	x2	c2	risetime	risetime_l
9023	LO1	ltm	479	0.3131152719548002	0.44235611402587355	3.833651781203655	1.1253916641113164				8.944094409440943	13.998599859985998
9024	LO1	perception	479	0.8707487512070107	0.8478730597299412	3.1428000216993017	1.0361686588112242				5.82038203820382	7.058105810581058
9025	LO1	wm	479	0.572957574019963	3.933885136396633	2.6477326697452805	1.3213314304327537	-0.4786368508840879	8.324225224141706	1.1895675013182443	3.118111811181118	3.7355735573557354
9026	V1	ltm	480	0.13926769693923122	3.514767819895438	3.0521177273829347	1.0956749346067707				3.6767676767676765	3.6767676767676765
9027	V1	perception	480	0.8884307532737004	2.837000752395165	2.4707054984315504	1.1084396462009176				3.2455245524552456	3.2483248324832483
9028	V1	wm	480	0.5419159591442664	4.999999889917711	2.5573580269989895	1.2260788210546885	-0.8966913118033508	6.716842190207258	1.236685381758304	2.9458945894589457	3.491949194919492
9029	V2	perception	480	1.1709268303506006	1.2986107606600654	2.569842262950949	1.0381367583149725				4.291429142914291	4.614861486148615
9030	V2	wm	480	2.2058599900554645	1.7510009698780395	3.4150046469648117	1.1490020187929297	-0.41985311503285067	8.591116249872151e-15	1.0832901816667273	3.7145714571457145	4.294229422942294
9031	V3	ltm	480	0.2957113180060163	1.5204179482306184	4.197698296939217	1.087701524326144				5.643964396439644	5.655165516551655
9032	V3	perception	480	1.3442629646499182	1.154729913469762	2.9989492903747155	1.033750093860291				4.931293129312931	5.2435243524352435
9033	V3	wm	480	31.246585954021057	0.7074881473115933	12.972854187771036	1.0013251165177863	-1.007929498489464	3.7631154910936773	1.0165419123808168	3.685168516851685	4.556055605560556
9034	V4	ltm	480	0.17414118221997568	4.999999999999998	4.193712270366689	1.1539201218490893				4.633063306330633	4.633063306330633
9035	V4	perception	480	0.9076861307052849	1.8108221739034376	2.5255002623868785	1.1730194686785624				3.7453745374537455	3.804180418041804
9036	V4	wm	480	955.3948684889517	1.7119791120282735	11.026260745523848	1.0001677418357604	-2.034052961783693	3.0895755571819694	1.0002698884916394	3.2847284728472848	3.7943794379437943
9037	V3ab	ltm	480	0.3417722272794655	0.8450282852158001	3.18427632894578	1.0801827059664524				5.869386938693869	7.058105810581058
9038	V3ab	perception	480	0.986642698056066	1.244520889537349	3.335870384438763	1.055306109676418				5.114711471147115	5.2505250525052505
9039	V3ab	wm	480	0.6402849136593696	1.7043659822013963	2.722003863981878	1.1954264184304855	-0.4701234289887726	8.890610816433927	1.3220794729376402	3.6823682368236823	4.764676467646765
9040	IPS0	ltm	480	0.23355406981467455	1.5940955765772382	4.128938470858242	1.1747556013212384				5.508150815081508	5.516551655165516
9041	IPS0	perception	480	0.6217816202176297	1.4005300538199446	2.6677757362240415	1.0980495245395852				4.255025502550255	4.444044404440444
9042	IPS0	wm	480	0.456786405037375	1.7867168606162656	3.623975446584945	1.156468275904978	-0.8746168698862318	8.464806316034307	1.6973276838476836	4.605060506050605	5.242124212421242
9043	LO1	ltm	480	0.285119566514851	0.859457689373134	4.641826968758432	1.1810785074142487				7.217721772177217	7.4543454345434546
9044	LO1	perception	480	0.8284856336508023	1.047265723546527	4.21850428429382	1.086194226536003				6.3286328632863285	6.45044504450445
9045	LO1	wm	480	2.538679900000715	0.06603512424712	14.999998450527995	0.5372239156431481	-0.642127933563498	8.472409266745512	1.166079660025414	5.001300130013001	6.471447144714471
9046	V1	ltm	481	0.12054593899160608	2.471001597840105	2.3600857102364254	1.146950696401952				3.251125112511251	3.2623262326232623
9047	V1	perception	481	0.9814748873073981	3.951487782265599	2.6854795347053226	1.1649060471840822				3.2413241324132414	3.2413241324132414
9048	V1	wm	481	0.6212504210417163	4.999999999999999	2.513919899203425	1.1078678123569323	-1.2200449893874905	6.366077407433441	1.3350106547415483	2.9192919291929194	3.5367536753675366
9049	V2	ltm	481	0.26606038919306835	1.2694790638831892	3.7150630141336314	1.1037380479508163				5.4535453545354535	5.526352635263526
9050	V3	ltm	481	0.22041718609849073	1.1629662423009477	3.6432717688239387	1.102866617451798				5.545954595459546	5.6775677567756775
9051	V3	perception	481	1.3212040757226289	1.1533759920426845	2.8647398831401087	1.011820565821975				4.803880388038804	5.1819181918191815
9052	V4	ltm	481	0.5125914820992526	0.16829658278271298	14.99999998805666	1.1119344244434837				13.07170717071707	13.998599859985998
9053	V4	perception	481	0.8339110786675451	2.042549899004951	2.5543694476826033	1.167342679438609				3.633363336333633	3.65996599659966
9054	V4	wm	481	280.6428147658632	1.5391055333619847	10.603727855635519	1.0007209379602147	-1.8689442663891036	3.342706573171526	1.0010055848181558	3.468146814681468	3.993199319931993
9055	V3ab	ltm	481	0.45156566330715964	0.46945709105510625	5.857594383429068e-23	0.9301515874474292				6.216621662166216	13.998599859985998
9056	V3ab	perception	481	1.0549644634599402	1.2976749391577194	3.1326100298087347	1.064305888544086				4.8402840284028406	4.983098309830983
9057	V3ab	wm	481	1.2733073126036447	1.7174921924995168	2.5957326893164128	1.179909156920212	-0.1719534038970972	4.153147756010788e-12	1.065879562332779	3.302930293029303	4.133213321332133
9058	IPS0	ltm	481	0.1909805277493395	2.083160644833241	4.212536979875864	1.145943385515789				5.267326732673268	5.268726872687268
9059	IPS0	perception	481	0.6140485959532157	1.5919102780083385	2.3784913024029257	1.0542273644404272				3.7747774777477745	3.9315931593159315
9060	IPS0	wm	481	290.94924139441	1.518047192868578	11.747853876978123	1.0004151973611928	-1.642999165140795	3.9961163534091235	1.001149886869194	4.564456445644565	5.351335133513351
9061	LO1	ltm	481	0.17650726977515407	4.999999999794014	3.702183246401966	1.148975196885816				4.1416141614161415	4.1416141614161415
9062	LO1	perception	481	0.868321619428406	0.9727879130859226	3.794799065259924	1.0507693166003313				6.08080808080808	6.367836783678368
9063	LO1	wm	481	0.4861051734388299	2.1189035046894147	2.30885966230289	1.3616248819215402	-1.0289395601797375	10.24398173424096	1.236629314368668	3.3155315531553153	5.090909090909091
9064	V1	ltm	482	0.0894966058422887	4.999999999999917	3.456471119080103	1.1274232598003076				3.8965896589658966	3.8965896589658966
9065	V1	perception	482	1.1472428536332688	2.7808855547752667	2.5820096212942514	1.1498894123835675				3.3729372937293727	3.375737573757376
9066	V2	ltm	482	0.2637963023551162	2.0975878480163272	3.4003681396482612	1.095099722413079				4.448244824482448	4.452445244524452
9067	V2	perception	482	1.3716768498643725	1.3732791045338069	2.515185567320103	0.9898876922987923				4.14021402140214	4.406240624062406
9068	V3	ltm	482	0.16903012697002723	4.9999999999996225	4.13773402695986	1.1878463100765384				4.577057705770577	4.577057705770577
9069	V3	perception	482	1.4348857062971891	1.4992737292441458	2.524236896162347	1.0608244437654726				4.005800580058006	4.173817381738174
9070	V3	wm	482	12.42767055448699	4.999999999999999	8.335513248468061	1.0450380070741494	-4.31948207912855	7.093112002776071	1.031507288530924	8.03120312031203	8.192219221922192
9071	V4	ltm	482	0.27383810624815447	0.585579859490477	5.561610203714465	1.1328163725251523				9.263326332633262	10.173417341734174
9072	V4	perception	482	0.9745145808985018	2.028423935563686	2.976517875147421	1.2184303303860768				4.06040604060406	4.073007300730073
9073	V3ab	ltm	482	0.20939432123199614	3.730279335485484	3.0210806140973223	1.1145566724879319				3.6095609560956095	3.6095609560956095
9074	V3ab	perception	482	1.1662461015090326	1.3589598397696994	3.059325635593438	1.0692279616876783				4.689068906890689	4.812281228122812
9075	V3ab	wm	482	14930.734601414455	4.999978288731889	10.86246570701883	1.0000287763585651	-4.917968068833993	6.814152759737071	1.000016615445887	9.785578557855786	10.193019301930192
9076	IPS0	ltm	482	0.20371815252044392	4.999999999999999	4.082859789421617	1.1112822528180824				4.522452245224522	4.522452245224522
9077	IPS0	perception	482	0.6880509437394602	1.4311989016362832	2.902478845619139	1.0371789891376373				4.44964496449645	4.567256725672567
9078	IPS0	wm	482	0.47509541473275096	3.2101778037200717	3.9604814027827464	1.1880937198844919	-0.5165872572312246	5.4796075129582515	1.5633461133740854	4.435643564356435	4.9816981698169815
9079	LO1	ltm	482	0.0330531790594363	4.999999999998973	2.8667123888644293	1.159131190802868				3.3057305730573057	3.3057305730573057
9080	LO1	perception	482	0.5736989023393687	1.6383455976089791	3.965165311666531	1.1601890764830183				5.307930793079308	5.316331633163316
9081	LO1	wm	482	0.3496984689888605	4.999999999999999	2.004737705357961	1.379432306549778	-4.902141441481552	11.290367984846025	1.339812647504065	2.4446444644464447	6.597459745974597
9082	V1	ltm	483	0.1071412889057722	3.549686496693318	2.1319447811118186	1.128275185946189				2.751275127512751	2.7526752675267527
9083	V1	perception	483	0.8658741048297981	4.459925319938616	2.72486737167086	1.1477359900303579				3.2175217521752173	3.2175217521752173
9084	V1	wm	483	1.3875905713715915	4.999999999999999	2.479386966937015	1.113567966316561	-0.3482967787883601	4.004186716764389e-11	1.1367263157384435	2.765276527652765	3.106910691069107
9085	V2	ltm	483	0.29907328761859525	2.601663078369457	3.7704690814827546	1.1686122044550553				4.614861486148615	4.614861486148615
9086	V2	perception	483	1.1916370827589025	1.5841625146916705	2.267330321864785	1.0002354503586728				3.6739673967396738	3.86998699869987
9087	V3	ltm	483	0.44548125115632586	1.131637826786165	3.2995952254244467	1.1118455699504841				5.264526452645264	5.4983498349834985
9088	V3	perception	483	1.6167027014437834	1.3011437898995422	2.436657953270923	0.9411459158302007				4.15981598159816	4.556055605560556
