	wlsubj	run	task	trial_id	cond	sacc_idx	sacc_label	index	event	eye	start_time	end_time	duration	x_start	y_start	x_end	y_end	amp_deg	peak_v	trial_start	trial_end	target_x	target_y	sac_x_deg	sac_y_deg	sac_ang	sac_ecc	target_theta	sacc_theta	ang_dist	fix_duration	x_centered	y_centered
64	141	12	wm	13	47	1	last	879	ESACC	R	2881731	2881776	46	1232.5	638.3	1232.2	635.8	0.09	60	2863980	2882016	6.960027325362076	-0.747007115236011	6.186363636363637	-2.1772727272727264	-19.38937154781996	6.55832383847031	-0.106918895674694	-0.3384083734019677	13.263370075460452	240	-1.50466000325469	6.383385453257036
65	141	12	wm	14	36	0	first	943	ESACC	R	2899065	2899187	123	903.7	571.3	785.5	324.0	9.44	433	2882016	2900052	-1.755575369855701	6.77627885500265	-3.965909090909091	4.909090909090909	128.93371737430098	6.310911857336813	1.824299271867649	2.2503178850173704	-24.409068527495556	63	2.6079752607439324	5.746831606235039
66	141	12	wm	14	36	1	response	944	ESACC	R	2899250	2899286	37	780.6	317.9	775.2	291.6	0.98	112	2882016	2900052	-1.755575369855701	6.77627885500265	-4.199999999999999	5.645454545454545	126.64782209315057	7.03641649028775	1.824299271867649	2.210421486005494	-22.12317324634512	353	2.6499071770530302	6.51837011666231
67	141	12	wm	14	36	2	last	945	ESACC	R	2899639	2899652	14	762.8	292.4	764.1	297.3	0.18	73	2882016	2900052	-1.755575369855701	6.77627885500265	-4.452272727272727	5.515909090909091	128.90940523398177	7.088581348703707	1.824299271867649	2.249893558120593	-24.384756387176324	400	2.92660677088	6.456234068389204
68	141	12	wm	15	40	0	first	1014	ESACC	R	2915440	2915475	36	965.1	540.4	672.3	571.7	4.2	207	2900052	2916096	-6.879142731831048	-1.295142955467101	-6.538636363636365	-0.7204545454545465	-173.71227289827118	6.578207981504834	-2.9555000102992315	-3.031851113197745	4.374595957253892	850	-0.5017655963923364	6.559043492325
69	141	12	wm	15	40	1	response	1015	ESACC	R	2916325	2916380	56	640.1	575.6	640.3	590.1	0.55	56	2900052	2916096	-6.879142731831048	-1.295142955467101	-7.2659090909090915	-1.138636363636364	-171.09364743138963	7.354585487024433	-2.9555000102992315	-2.986147476924088	1.7559704903723343	-284	-0.22536412986394644	7.3511317968678185
0	142	1	perception	0	4	0	first	41	ESACC	R	1802235	1802295	61	964.4	539.7	892.8	241.3	11.16	604	1783689	1802741	-2.147672070185363	6.662394815600898	-1.5272727272727282	6.788636363636363	102.67901417709716	6.958314857863003	1.882636203782709	1.7920868700922816	5.188094658183238	189	-0.6292101160908669	6.929808099144301
1	142	1	perception	0	4	1	response	42	ESACC	R	1802484	1802512	29	882.3	228.5	876.8	244.4	0.58	91	1783689	1802741	-2.147672070185363	6.662394815600898	-1.890909090909092	6.718181818181819	105.71986349100244	6.979219450069715	1.882636203782709	1.8451597026769389	2.147245344277987	229	-0.2614955041844099	6.974318908217687
2	142	1	perception	1	6	0	first	75	ESACC	R	1820532	1820583	52	960.5	540.6	758.1	347.6	7.78	443	1802741	1821777	-5.145294808808898	4.746150158859727	-4.588636363636363	4.372727272727272	136.38017910259464	6.338479902889875	2.396525121045955	2.3802831597998417	0.9305958304173368	337	-0.10294481863978158	6.3376438716335315
3	142	1	perception	1	6	1	response	76	ESACC	R	1820920	1820934	15	730.8	341.3	727.9	330.1	0.42	79	1802741	1821777	-5.145294808808898	4.746150158859727	-5.275	4.770454545454545	137.87533559973014	7.112162931924994	2.396525121045955	2.4063785635074413	-0.5645606667181581	843	0.07007815422842469	7.111817673601304
4	142	1	perception	2	1	0	response	98	ESACC	R	1837626	1837671	46	961.6	535.9	1182.0	321.7	8.59	440	1821777	1838804	5.196444125608956	4.690092584312614	5.045454545454546	4.961363636363637	44.51853419416165	7.076138827247481	0.7342266041691708	0.7769949998498014	-2.450448569045668	248	0.3025428535812812	7.069668204677377
5	142	1	perception	2	1	1	corrective	99	ESACC	R	1837919	1837929	11	1172.2	315.3	1200.8	303.4	0.59	75	1821777	1838804	5.196444125608956	4.690092584312614	5.472727272727272	5.377272727272728	44.49594456268196	7.672405475802486	0.7342266041691708	0.7766007364036686	-2.427858937565975	113	0.325014239664292	7.665518347061692
6	142	1	perception	2	1	2	corrective	100	ESACC	R	1838042	1838047	6	1189.1	297.4	1190.4	306.8	0.35	58	1821777	1838804	5.196444125608956	4.690092584312614	5.236363636363638	5.3	45.346044503856135	7.450470061159324	0.7342266041691708	0.7914377793481681	-3.277958878740152	91	0.42601765800773317	7.438280250655861
7	142	1	perception	2	1	3	corrective	101	ESACC	R	1838138	1838147	10	1186.0	313.6	1184.6	298.8	0.55	58	1821777	1838804	5.196444125608956	4.690092584312614	5.104545454545453	5.4818181818181815	47.04102103353836	7.490441567493404	0.7342266041691708	0.8210207005351502	-4.972935408422372	382	0.6493101579878806	7.462245720610304
8	142	1	perception	2	1	4	last	102	ESACC	R	1838529	1838538	10	1173.5	295.3	1183.5	298.2	0.17	54	1821777	1838804	5.196444125608956	4.690092584312614	5.079545454545454	5.495454545454546	47.25225155966456	7.483435219600047	0.7342266041691708	0.8247073686967723	-5.184165934548573	266	0.6761834317479747	7.452823535585686
9	142	1	perception	3	11	0	first	124	ESACC	R	1853559	1853642	84	961.6	547.9	966.4	876.4	12.21	663	1838804	1854839	-0.1196500182675855	-6.998977344807495	0.1454545454545449	-7.645454545454545	-88.91008098382315	7.646838054477481	-1.5878900189818534	-1.551773651382513	-2.0693154347852345	80	0.2761159777661807	7.6418513593387285
10	142	1	perception	3	11	1	corrective	125	ESACC	R	1853722	1853836	115	960.4	882.1	957.7	836.7	1.66	87	1838804	1854839	-0.1196500182675855	-6.998977344807495	-0.0522727272727262	-6.743181818181819	-90.44414443311194	6.743384422608161	-1.5878900189818534	-1.5785481095071034	-0.5352519854964506	36	0.06299517054199716	6.7430901728779205
11	142	1	perception	3	11	2	corrective	126	ESACC	R	1853872	1853888	17	972.8	856.6	964.0	846.0	0.41	103	1838804	1854839	-0.1196500182675855	-6.998977344807495	0.0909090909090909	-6.954545454545454	-89.2510782171762	6.955139606229968	-1.5878900189818534	-1.5577251758447148	-1.7283182014322094	75	0.20976887976984213	6.951975543629945
12	142	1	perception	3	11	3	corrective	127	ESACC	R	1853963	1854084	122	970.0	851.8	964.6	843.0	0.33	94	1838804	1854839	-0.1196500182675855	-6.998977344807495	0.104545454545455	-6.886363636363637	-89.13022990029407	6.887157170001098	-1.5878900189818534	-1.5556159748196288	-1.849166518314307	41	0.22223782896491306	6.8835706019241565
13	142	1	perception	3	11	4	corrective	128	ESACC	R	1854125	1854270	146	963.7	843.7	975.1	851.0	0.31	87	1838804	1854839	-0.1196500182675855	-6.998977344807495	0.3431818181818187	-7.068181818181818	-87.22029780310783	7.076508176721526	-1.5878900189818534	-1.5222813712342087	-3.7590986155005375	27	0.4639471220383509	7.061283243374319
14	142	1	perception	3	11	5	response	129	ESACC	R	1854297	1854709	413	977.1	865.3	957.8	849.5	0.63	130	1838804	1854839	-0.1196500182675855	-6.998977344807495	-0.050000000000001	-7.034090909090909	-90.4072652407184	7.034268612823608	-1.5878900189818534	-1.5779044461743594	-0.5721311778900074	130	0.07024003407545826	7.033917916422428
15	142	1	perception	4	12	0	first	151	ESACC	R	1871639	1871836	198	963.6	546.8	1014.5	848.0	11.26	565	1854839	1872875	1.2636141854032428	-6.885003935398128	1.2386363636363635	-7.0	-79.96549192028345	7.108742507738082	-1.38928496495707	-1.395661121985869	0.3653268872628583	181	-0.04532615137987293	7.108598003919156
16	142	1	perception	4	12	1	corrective	152	ESACC	R	1872017	1872043	27	1008.6	836.9	1008.8	842.1	0.19	66	1854839	1872875	1.2636141854032428	-6.885003935398128	1.109090909090908	-6.865909090909091	-80.82393884053579	6.954911235181668	-1.38928496495707	-1.410643847197877	1.2237738075151712	195	-0.14853783559380218	6.953324873803417
17	142	1	perception	4	12	2	corrective	153	ESACC	R	1872238	1872295	58	1016.1	861.0	1010.2	855.4	0.22	61	1854839	1872875	1.2636141854032428	-6.885003935398128	1.140909090909092	-7.168181818181818	-80.95649050612417	7.258409201211475	-1.38928496495707	-1.4129573101913977	1.3563254731036054	50	-0.17180752116622122	7.256375562765625
18	142	1	perception	4	12	3	response	154	ESACC	R	1872345	1872350	6	1002.4	840.4	1004.5	844.9	0.17	74	1854839	1872875	1.2636141854032428	-6.885003935398128	1.0113636363636365	-6.929545454545454	-81.69633835258531	7.002960560475136	-1.38928496495707	-1.425870091075934	2.0961733195647345	34	-0.2561470454682867	6.998274451796536
19	142	1	perception	4	12	4	corrective	155	ESACC	R	1872384	1872393	10	1005.3	853.9	1003.9	844.1	0.36	60	1854839	1872875	1.2636141854032428	-6.885003935398128	0.9977272727272722	-6.911363636363637	-81.78550734764929	6.983008450860804	-1.38928496495707	-1.4274263836304952	2.1853423146287336	58	-0.2662772760297032	6.9779297386161465
20	142	1	perception	4	12	5	corrective	156	ESACC	R	1872451	1872469	19	1008.1	855.9	1010.4	853.6	0.09	84	1854839	1872875	1.2636141854032428	-6.885003935398128	1.1454545454545448	-7.127272727272728	-80.86982351772133	7.218731373629864	-1.38928496495707	-1.41144468589098	1.2696584847007388	279	-0.15995198116360926	7.216959055471351
21	142	1	perception	4	12	6	last	157	ESACC	R	1872748	1872841	94	1011.3	851.3	1006.9	841.7	0.36	79	1854839	1872875	1.2636141854032428	-6.885003935398128	1.0659090909090905	-6.856818181818183	-81.16395424561983	6.939172700588671	-1.38928496495707	-1.416578235524096	1.5637892125992157	34	-0.1893692050843709	6.936588287678661
22	142	1	perception	5	13	0	first	183	ESACC	R	1888642	1888717	76	962.2	543.2	1155.4	789.3	9.61	350	1872875	1889903	4.685894784723817	-5.200229809008266	4.440909090909093	-5.66590909090909	-51.91084234342975	7.198902651110466	-0.8373772499920896	-0.906015116376538	3.932660058611764	89	-0.49372943230984245	7.181951728314268
23	142	1	perception	5	13	1	corrective	184	ESACC	R	1888806	1888810	5	1154.6	778.7	1158.0	786.0	0.27	44	1872875	1889903	4.685894784723817	-5.200229809008266	4.5	-5.590909090909091	-51.170175095029606	7.176925836513146	-0.8373772499920896	-0.893088034230269	3.1919928102116244	890	-0.3996253729169552	7.165791235036847
24	142	1	perception	5	13	2	response	185	ESACC	R	1889700	1889716	17	1157.8	784.8	1156.9	773.5	0.42	72	1872875	1889903	4.685894784723817	-5.200229809008266	4.475000000000002	-5.306818181818182	-49.86057758849313	6.941753684399646	-0.8373772499920896	-0.8702312458653	1.8823953036751773	187	-0.2280233209067624	6.93800760881672
25	142	1	perception	6	14	0	first	210	ESACC	R	1907662	1907727	66	952.4	539.8	1168.5	671.6	5.81	228	1889903	1908939	5.951358845336227	-3.685285320574007	4.738636363636363	-2.990909090909092	-32.259098888066035	5.603589187017505	-0.5544424208025679	-0.5630274893231944	0.4918881930625174	109	-0.048106606190153896	5.603382686493969
26	142	1	perception	6	14	1	corrective	211	ESACC	R	1907836	1907878	43	1171.8	674.7	1206.5	702.5	1.15	181	1889903	1908939	5.951358845336227	-3.685285320574007	5.602272727272728	-3.6931818181818175	-33.394037480665475	6.710070912657524	-0.5544424208025679	-0.5828359045720053	1.626826785661967	173	-0.19049669105728528	6.707366298599533
