	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
3	4.0	ltm	491	diff_vonmises	0.137381934465227	7.871405026200372	2.896309195711749	32.79726062563489	2.829795526752952	32.92413063761917	0.1987891790191653	-0.1190285375063719	0.3178177165255373	52.74944513841709	near	V4
4	5.0	ltm	491	diff_vonmises	0.0494366911182208	2.832513754165936	2.537979320378024	0.5905678959023619	9.39384525976963e-16	0.2750116182779343	0.3073777840085346	-0.0415764623896017	0.3489542463981364	86.33698971579997	near	V3ab
5	6.0	ltm	491	diff_vonmises	0.4472914367350551	25.62791153726153	1.0034090281269177	43.20959725214761	0.989959541855592	43.07016815762425	0.1573410557671888	-0.0330695311356747	0.1904105869028636	98.923468179504	near	IPS0
6	7.0	ltm	491	diff_vonmises	-0.0142452021399771	-0.8161899609314167	1.1991405156834307	42.12026514079001	1.1739622756750268	42.09135853510149	0.2071031576150801	-0.0669024612872672	0.2740056189023474	87.11231423540411	near	LO1
0	1.0	ltm	492	diff_vonmises	-0.1581359794962757	-9.060524214303925	9.961171928581775	0.1786648183929373	3.9958388313980415e-10	3.7016760883863817	-0.3671445619454135	-0.5891400464618323	0.2219954845164187	43.0057268216857	near	V1
1	2.0	ltm	492	diff_vonmises	0.0706740074584316	4.049322348644233	4.269968540587628	0.6839883887200757	0.2515483605928935	2.2387934244186822	0.0938367423950912	-0.351348659776484	0.4451854021715752	60.03054479171999	near	V2
2	3.0	ltm	492	diff_vonmises	0.0992238232066321	5.685106296892256	5.45503647670403	0.5045272921734334	0.2038977837283821	1.1638518995463134	0.2333879213278261	-0.1852628020024092	0.4186507233302353	55.69999268812396	near	V3
3	4.0	ltm	492	diff_vonmises	-0.1092422879387325	-6.259122043242272	0.9883839450115528	147.38581943630143	0.963951241919303	149.35874911673048	0.0218426435987098	-0.4526868985756884	0.4745295421743982	81.21740177438235	near	V4
4	5.0	ltm	492	diff_vonmises	-0.1121385384036412	-6.425064971294341	2.571606828904374	0.8525152099270769	3.962355734800837e-15	2.0175976673163976	0.1896794673995561	-0.3181277697910484	0.5078072371906046	85.77043124481222	near	V3ab
5	6.0	ltm	492	diff_vonmises	0.1845974270010266	10.576653476133131	0.9034518465893056	115.38355248434328	0.887950467175984	116.15732659783345	0.0927671483892851	-0.2054705575010409	0.298237705890326	88.99646195934938	near	IPS0
6	7.0	ltm	492	diff_vonmises	0.0331525757305575	1.899502669348791	0.9191834512511792	159.1815261466391	0.9042400904528646	160.62131780996546	-0.0130405401997393	-0.3181332645282495	0.3050927243285102	83.06258966616733	near	LO1
0	1.0	ltm	493	diff_vonmises	-0.0785009835853625	-4.497775047067028	5.218826445540744	0.3850503088272693	0.0169682689999707	4.022719044126798	-0.3096230993268548	-0.6383540129508972	0.3287309136240424	58.46296203567641	near	V1
1	2.0	ltm	493	diff_vonmises	0.0904372514411366	5.18167281834055	7.374055440079222	0.6049312458021148	0.2154337792275767	2.3007788687659256	0.1944428182959361	-0.3876817074901061	0.5821245257860422	47.54101568884644	near	V2
