	roi	task	ang_dist_bin	subj	0	vexpl	norm	0_norm	0_adj	1_adj	2_adj	3_adj	4_adj	5_adj	6_adj	7_adj	8_adj	9_adj	10_adj	11_adj	12_adj	13_adj	14_adj
294	6.0	perception	-40.0	131.125	0.18426990960591952	0.5682441034729464	1.1205503501016851	0.1658977614809742	0.1858967947085915	0.01578568368910812	0.14957829269575318	0.33507565396138894	0.35642667616230983	0.3468983395603481	0.34683636843978544	0.2044539874309781	0.09658470903731647	0.1324282897078824	0.06976384140731086	0.09710516535104367	-0.000369319559389176	0.026580620630006352	0.28680727514480847
295	6.0	perception	-20.0	131.125	0.18912218439217338	0.5519564396239808	1.1205503501016851	0.17896724720578172	0.20054181151317355	-0.005565407136591316	0.1631808829325694	0.4354839837729459	0.5053748032281262	0.49659206139070616	0.39115798602647345	0.3370077837694339	0.25194022567256635	0.19683316973143059	0.21054507912021614	0.21008109285593554	0.19729662864240066	0.175610409824157	0.3834978919217697
296	6.0	perception	0.0	131.125	0.19710210351504495	0.5562523659307987	1.1205503501016851	0.1765891546365988	0.1978770390522014	-0.03824344806530358	0.1716363429930012	0.3703633228702122	0.46160463183751316	0.4477462197593556	0.3920420872563536	0.327348358071011	0.22980088695658743	0.22770697193851847	0.27486847874284337	0.19509998809036133	0.1880359767561073	0.1999564523513747	0.3746421659722881
297	6.0	perception	20.0	131.125	0.2669901368846847	0.5543523335249498	1.1205503501016851	0.23015681279087008	0.25790229715109747	0.08744293976748034	0.19297325676566993	0.40471844354050673	0.42499933630617354	0.4592718130150562	0.4505839611791585	0.3587116318815672	0.22891614672476415	0.24231544590935783	0.2842067131876654	0.24248478104325308	0.2358612714331434	0.23061967105427253	0.38238972404443766
298	6.0	perception	40.0	131.125	0.19416883980956165	0.5594164576350116	1.1205503501016851	0.15781310837625925	0.1768375338416525	0.0774775038506507	0.1774123329849177	0.2956891350610011	0.3514459472083718	0.29922320630039373	0.2622918979493975	0.08741484780910791	0.01756383325218496	0.032962420659948026	0.01845712084943154	-0.017502070956208694	0.07991825016654454	0.03733636517682852	0.14659735611864977
299	6.0	perception	60.0	131.125	0.14492606549743517	0.563476191206096	1.1205503501016851	0.1164165308199901	0.13045058436796353	0.08205732295258637	0.1654608816553027	0.274399136888585	0.30860158023672324	0.2576176667689986	0.11688221905353431	-0.050549603018088606	-0.10193799793906817	-0.095426474157128	-0.11537284981730067	-0.15258378892184962	-0.06991008507167863	-0.07517060452010689	0.051488042026381985
300	6.0	perception	80.0	131.125	0.17829728168471917	0.5580559881224226	1.1205503501016851	0.15023982886962362	0.168351292839074	0.013687546421902216	0.07577690684042956	0.14209039745454632	0.12871887893540385	0.05468136319509195	-0.05386903786945334	-0.15069743285932705	-0.16006945396992048	-0.15787770671248944	-0.20133929905878015	-0.26386365734855716	-0.24312888100091856	-0.1422420169345503	-0.017591771252998493
301	6.0	perception	100.0	131.125	0.09381940974917778	0.560419270113	1.1205503501016851	0.08116448099133675	0.09094888759066395	-0.06764219643307073	-0.0072708134137257395	0.015286860098661986	0.058353022607364975	-0.0891196235862057	-0.19172469099516018	-0.2339908664215093	-0.3110154785148864	-0.31367875762735165	-0.3097739576753213	-0.32239535593806085	-0.3336823551778117	-0.32975901064930485	-0.20863549296434847
302	6.0	perception	120.0	131.125	0.08807791088727071	0.5591860483183286	1.1205503501016851	0.0914602256672665	0.1024857878918346	-0.10267245414680931	-0.09221270208965462	-0.06109235693445152	-0.1263465984818455	-0.21898172054199705	-0.3305873879707938	-0.33345741525485006	-0.4383182151461516	-0.3941774523605167	-0.42173860412828135	-0.4345154587495233	-0.41632571852542555	-0.41600184603493423	-0.18934857773346844
303	6.0	perception	140.0	131.125	0.2126187750599892	0.550599203899124	1.1205503501016851	0.19128580089836444	0.21434537116614352	0.023859256479276038	0.03897901194242168	0.0384262686896146	-0.04925044755598542	-0.19139608691554702	-0.3403519173913613	-0.4486889918227069	-0.465330233855548	-0.43564862971177715	-0.40377958696046423	-0.40154572017207246	-0.37605995515367474	-0.38718942648912924	-0.1933132062350838
