	roi	task	ang_dist_bin	subj	beta	vexpl	norm	beta_norm	beta_adj
155	3.0	wm	60.0	131.125	-0.27006938411852077	0.6490880670069328	1.1928532821273583	-0.2177728413137331	-0.2597710485192869
156	3.0	wm	80.0	131.125	-0.2818359276124134	0.6542866486842519	1.1928532821273583	-0.2173570988625323	-0.2592751287718523
157	3.0	wm	100.0	131.125	-0.2565494418293569	0.6531493046592713	1.1928532821273583	-0.20283427173185317	-0.24195152676325352
158	3.0	wm	120.0	131.125	-0.21939138929833615	0.653942551247016	1.1928532821273583	-0.17617887864106696	-0.21015555362851426
159	3.0	wm	140.0	131.125	-0.26190300207280437	0.6559818478350484	1.1928532821273583	-0.21077832097002047	-0.2514276119703827
160	3.0	wm	160.0	131.125	-0.23983920812512977	0.6500193623972331	1.1928532821273583	-0.1956684729760932	-0.23340378019838107
161	3.0	wm	180.0	131.125	-0.1972797962679884	0.6535515342976694	1.1928532821273583	-0.14006160678470841	-0.1670729473531709
162	4.0	ltm	-160.0	131.125	-0.3810989266579339	0.702887889140386	1.5573577543611965	-0.18971627746344744	-0.29545611583624015
163	4.0	ltm	-140.0	131.125	-0.36954543321252376	0.6987379679378606	1.5573577543611965	-0.19286158187111238	-0.3003544800453436
164	4.0	ltm	-120.0	131.125	-0.3844749217434507	0.7050467008558184	1.5573577543611965	-0.20503431418063356	-0.3193117790993395
165	4.0	ltm	-100.0	131.125	-0.3607579046206178	0.7066940037581807	1.5573577543611965	-0.20701683883084215	-0.3223992792365541
166	4.0	ltm	-80.0	131.125	-0.3822098824995512	0.6993051899877477	1.5573577543611965	-0.22669577339791136	-0.3530464205821459
167	4.0	ltm	-60.0	131.125	-0.28952049818218906	0.7022065475531778	1.5573577543611965	-0.1595140343183385	-0.24842041827510247
168	4.0	ltm	-40.0	131.125	-0.13116606517030005	0.7000872101745854	1.5573577543611965	-0.06170652471911295	-0.0960991347659914
169	4.0	ltm	-20.0	131.125	-0.039336737859440044	0.7037781881467782	1.5573577543611965	0.010623735074600425	0.016544956198707998
170	4.0	ltm	0.0	131.125	-0.05908614484925931	0.7033802500712341	1.5573577543611965	-0.011544826816203712	-0.017979425564971934
171	4.0	ltm	20.0	131.125	-0.10685668100475369	0.6994051733746348	1.5573577543611965	-0.04958630471726847	-0.07722361616155524
172	4.0	ltm	40.0	131.125	-0.19117463539870672	0.7014230749719254	1.5573577543611965	-0.10963449161513607	-0.17074012566227972
173	4.0	ltm	60.0	131.125	-0.34997453588644317	0.7000117925302436	1.5573577543611965	-0.2218482981383517	-0.3454971673975966
174	4.0	ltm	80.0	131.125	-0.3821184779658161	0.7085947412799001	1.5573577543611965	-0.2332133711952804	-0.36319665205168605
175	4.0	ltm	100.0	131.125	-0.34936441303881777	0.6991418925995028	1.5573577543611965	-0.19773547672957148	-0.30794487799710607
176	4.0	ltm	120.0	131.125	-0.36777591581784586	0.7021610858616851	1.5573577543611965	-0.21875934700231228	-0.3406865653930428
177	4.0	ltm	140.0	131.125	-0.4152793090735139	0.7038167810018368	1.5573577543611965	-0.23135447016841187	-0.36030167812290237
178	4.0	ltm	160.0	131.125	-0.3745477935625859	0.7019840040026459	1.5573577543611965	-0.19176193859689256	-0.2986419420652062
179	4.0	ltm	180.0	131.125	-0.35821345439183516	0.702829352780102	1.5573577543611965	-0.16804915289072486	-0.26171265136820065
180	4.0	perception	-160.0	131.125	-0.5220737506549936	0.7049676740136125	2.190642658512324	-0.22569377483549308	-0.49441441091530647
181	4.0	perception	-140.0	131.125	-0.5238162218168174	0.7005490517629371	2.190642658512324	-0.23247202520984778	-0.509263135335445
182	4.0	perception	-120.0	131.125	-0.579703772057281	0.701204758119538	2.190642658512324	-0.25569607867314753	-0.5601387375557203
183	4.0	perception	-100.0	131.125	-0.5414345068710846	0.7020940614281176	2.190642658512324	-0.23869903651846186	-0.5229042919431337
